1:
Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
AAPL,2020,274515000000,57411000000,323888000000,258549000000,80674000000
AAPL,2019,260174000000,55256000000,338516000000,248028000000,69391000000
AAPL,2018,265595000000,59531000000,365725000000,258578000000,77434000000
MSFT,2020,143015000000,44281000000,301311000000,183007000000,60675000000
MSFT,2019,125843000000,39240000000,286556000000,184226000000,52819000000
MSFT,2018,110360000000,16571000000,258848000000,176223000000,43531000000
GOOGL,2020,182527000000,40269000000,319616000000,97088000000,65124000000
GOOGL,2019,161857000000,34343000000,275909000000,74467000000,54283000000
GOOGL,2018,136819000000,30736000000,232792000000,55164000000,47307000000
2:
Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
AAPL,2023,394328000000,99803000000,352755000000,290437000000,110543000000
AAPL,2022,365817000000,94680000000,352755000000,302083000000,122151000000
AAPL,2021,365817000000,94680000000,351002000000,287912000000,104038000000
MSFT,2023,211915000000,72361000000,411976000000,205753000000,87582000000
MSFT,2022,198270000000,72738000000,364840000000,198298000000,89105000000
MSFT,2021,168088000000,61271000000,333779000000,183007000000,76744000000
GOOGL,2023,307394000000,76033000000,402392000000,118796000000,101746000000
GOOGL,2022,283000000000,59972000000,365264000000,109134000000,90729000000
GOOGL,2021,257637000000,76033000000,359268000000,97088000000,78741000000
3:
Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
AAPL,2023,394328000000,99803000000,352755000000,290437000000,110543000000
AAPL,2022,365817000000,94680000000,352755000000,302083000000,122151000000
AAPL,2021,365817000000,94680000000,351002000000,287912000000,104038000000
MSFT,2023,211915000000,72361000000,411976000000,205753000000,87582000000
MSFT,2022,198270000000,72738000000,364840000000,198298000000,89105000000
MSFT,2021,168088000000,61271000000,333779000000,183007000000,76744000000
GOOGL,2023,307394000000,76033000000,402392000000,118796000000,101746000000
GOOGL,2022,283000000000,59972000000,365264000000,109134000000,90729000000
GOOGL,2021,257637000000,76033000000,359268000000,97088000000,78741000000
